url,type
http://www.gamefaqs.com/psp/932613-ratchet-and-clank-size-matters/data,0
http://www.gamepro.com/article/reviews/98228/ratchet-clank-size-matters/,0
http://www.ps2.ign.com/objects/655/655717.html,0
http://www.ps2.gamespy.com/playstation-2/ratchet-and-clank-up-your-arsenal/,0
http://www.cheatscodesguides.com/playstation-2-cheats/ratchet-and-clank-up-your-arsenal/,0
http://www.gamespot.com/ps2/action/ratchetclankiii/,0
http://www.gamefaqs.com/console/ps2/data/919902.html,0
http://www.mobygames.com/game/ratchet-clank-up-your-arsenal,0
http://www.ps3.gamespy.com/playstation-3/ratchet-clank-next/,0
http://www.ps3.ign.com/objects/887/887461.html,0
http://www.gamesradar.com/ps3/ratchet-clank-future-a-crack-in-time/preview/ratchet-clank-future-a-crack-in-time/a-20090722115011681062/g-20090602174818746011,0
http://www.cheatcc.com/ps3/rev/ratchetacrackintimepreview.html,0
http://www.e3.g4tv.com/games/ps3/61631/ratchet--clank-future-a-crack-in-time/articles/67799/Ratchet--Clank-Future-A-Crack-in-Time-Comic-Con-Preview/,0
http://www.ps3.gamespy.com/playstation-3/ratchet-clank-future-quest-for-booty/,0
http://www.ps3.ign.com/objects/142/14266751.html,0
http://www.shacknews.com/featuredarticle.x?id=948,0
http://www.ps3.gamespy.com/playstation-3/ratchet-and-clank-ps3/,0
http://www.ps3.ign.com/objects/819/819456.html,0
http://www.gamestats.com/objects/819/819456/,0
http://www.1up.com/do/gameOverview?cId=3157407,0
http://www.ps2.ign.com/objects/737/737570.html,0
http://www.ps2.gamespy.com/playstation-2/ratchet-deadlocked/,0
http://www.1up.com/do/previewPage?cId=3139571&amp;did=1,0
http://www.freewebs.com/firebirdsclanps2/,0
http://www.gamespot.com/ratchet-deadlocked/previews/ratchet-deadlocked-updated-hands-on-6129911/,0
http://www.psp.ign.com/objects/964/964763.html,0
http://www.1up.com/do/previewPage?cId=3166452,0
http://www.psp.gamespy.com/playstation-portable/secret-agent-clank/,0
http://www.gamepro.com/article/previews/150788/secret-agent-clank-developer-interview/,0
