url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/WilburWatson,37,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,1,0,3,4,3,3,12,12,8,12,7.666666666666670,5.5,12.0,0,1,0,0,0,0,43,0.23255813953488400,0.7674418604651160,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/demerson1,34,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.029411764705882400,0.0,0,0,0,0,0,2,0,0,0,0,0,3,4,3,3,9,9,8,9,6.666666666666670,5.5,9.0,0,1,0,0,0,0,43,0.23255813953488400,0.7674418604651160,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/SkyeBlueC,34,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,3,4,3,3,9,9,8,9,6.666666666666670,5.5,9.0,0,1,0,0,0,0,84,0.3333333333333330,0.6666666666666670,0.0,8,0.0,0.0,0.0,0.0,0,1,4.166666666666670,0,0,0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/PonyUpRescue,37,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,3,4,3,3,12,12,8,12,7.666666666666670,5.5,12.0,0,1,0,0,0,0,190,0.2789473684210530,0.7210526315789470,0.0,27,0.0,0.0,0.0,0.0,0,1,12.121212121212100,0,0.0,100.0,0,0,0,100.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/pages/Queens-Park-Rangers-FC/32792126803,65,16,1,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.16923076923076900,0.0,0,0,0,0,0,2,0,0,0,0,0,8,5,2,3,2,11,8,11,5.75,5.5,5.833333333333330,0,1,0,0,0,0,84,0.3333333333333330,0.6666666666666670,0.0,8,0.0,0.0,0.0,0.0,0,1,4.166666666666670,0,0,0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/people/ConceptElite-St-Dorothee/100000964403664,72,16,1,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.20833333333333300,0.0,0,0,0,0,0,2,0,0,0,1,0,7,17,2,3,2,15,8,15,7.714285714285710,5.5,8.6,0,1,0,0,0,0,43,0.23255813953488400,0.7674418604651160,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/pages/Melanie-Morgan/150570901699938,61,16,1,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.2459016393442620,0.0,0,0,0,0,0,2,1,0,0,1,0,6,7,3,3,5,15,8,15,7.333333333333330,5.5,8.25,0,1,0,0,0,0,43,0.23255813953488400,0.7674418604651160,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/andrews.megan,38,16,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,4,4,3,3,5,8,8,7,5.75,5.5,6.0,0,1,0,0,0,0,43,0.23255813953488400,0.7674418604651160,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/philippe.turcotte1,43,16,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.023255813953488400,0.0,0,0,0,0,0,3,0,0,0,0,0,4,6,3,3,8,9,8,9,7.0,5.5,8.5,0,1,0,0,0,0,43,0.23255813953488400,0.7674418604651160,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/russel.hamilton,40,16,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,4,5,3,3,6,8,8,8,6.25,5.5,7.0,0,1,0,0,0,0,43,0.23255813953488400,0.7674418604651160,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
